School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
6053703,Premier High School Of Little Rock,10,28,35.71,RV,RV,RV,0,0,0.00,0,0,0.00,9,27,33.33,0,0,0.00,0,0,0.00,0,0,0.00,7,21,33.33,RV,RV,RV,0,0,0.00,0,0,0.00,7,21,33.33
6091002,Ark. School For The Blind H.S.,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6092002,Ark. School For The Deaf H.S.,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6094001,Arkansas Consolidated High School-Alexander,3,30,10.00,0,0,0.00,0,0,0.00,0,0,0.00,1,16,6.25,0,0,0.00,2,14,14.29,0,0,0.00,1,19,5.26,RV,RV,RV,0,0,0.00,0,0,0.00,2,20,10.00
6094004,Arkansas Consolidated High School-Lewisville,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
6094006,Arkansas Consolidated High School-Harrisburg,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6094007,Arkansas Consolidated High School-Colt,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
6102006,Maynard High School,33,36,91.67,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,32,34,94.12,RV,RV,RV,32,34,94.12,RV,RV,RV,0,0,0.00,0,0,0.00,32,34,94.12
6103010,Pocahontas High School,115,135,85.19,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,109,125,87.20,RV,RV,RV,49,67,73.13,RV,RV,RV,0,0,0.00,0,0,0.00,53,71,74.65
6201011,Forrest City High School,186,239,77.82,RV,RV,RV,RV,RV,RV,0,0,0.00,155,193,80.31,0,0,0.00,29,43,67.44,0,0,0.00,180,224,80.36,23,28,82.14,0,0,0.00,RV,RV,RV,180,225,80.00
6202024,Hughes High School,26,36,72.22,0,0,0.00,0,0,0.00,0,0,0.00,23,29,79.31,0,0,0.00,RV,RV,RV,0,0,0.00,25,29,86.21,RV,RV,RV,RV,RV,RV,0,0,0.00,25,29,86.21
6205028,Palestine-Wheatley Senior High,48,55,87.27,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,39,45,86.67,0,0,0.00,48,54,88.89,RV,RV,RV,0,0,0.00,0,0,0.00,48,54,88.89
6301002,Bauxite High School,111,116,95.69,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,100,105,95.24,RV,RV,RV,39,43,90.70,12,13,92.31,0,0,0.00,RV,RV,RV,42,46,91.30
6301703,Miner Academy,17,19,89.47,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,17,19,89.47,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6302012,Benton High School,334,357,93.56,18,23,78.26,RV,RV,RV,RV,RV,RV,31,32,96.88,0,0,0.00,274,291,94.16,RV,RV,RV,94,108,87.04,24,25,96.00,0,0,0.00,RV,RV,RV,109,123,88.62
6303022,Bryant High School,589,655,89.92,39,47,82.98,RV,RV,RV,14,14,100.00,76,86,88.37,0,0,0.00,457,504,90.67,RV,RV,RV,129,160,80.63,46,53,86.79,RV,RV,RV,15,17,88.24,157,193,81.35
6304030,Harmony Grove High School,82,92,89.13,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,76,85,89.41,RV,RV,RV,14,20,70.00,RV,RV,RV,0,0,0.00,0,0,0.00,17,23,73.91
6401003,Waldron High School,104,123,84.55,10,14,71.43,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,81,94,86.17,RV,RV,RV,69,80,86.25,RV,RV,RV,RV,RV,RV,8,10,80.00,69,81,85.19
6502006,Marshall High School,67,69,97.10,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,62,64,96.88,0,0,0.00,45,47,95.74,RV,RV,RV,0,0,0.00,0,0,0.00,45,47,95.74
6505010,St. Joe High School,19,19,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,18,18,100.00,0,0,0.00,12,12,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,14,14,100.00
6505011,Bruno-Pyatt High School,15,15,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,12,12,100.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6505014,Western Grove High School,13,15,86.67,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,13,15,86.67,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6601005,Belle Point Alternative Center,5,68,7.35,2,13,15.38,RV,RV,RV,0,0,0.00,2,10,20.00,0,0,0.00,0,39,0.00,RV,RV,RV,5,50,10.00,RV,RV,RV,0,0,0.00,RV,RV,RV,5,50,10.00
6601024,Northside High School,440,535,82.24,187,227,82.38,RV,RV,RV,37,40,92.50,81,103,78.64,0,0,0.00,121,148,81.76,11,12,91.67,337,417,80.82,41,59,69.49,RV,RV,RV,133,160,83.13,347,431,80.51
6601025,Southside High School,485,541,89.65,67,75,89.33,RV,RV,RV,41,42,97.62,28,35,80.00,RV,RV,RV,298,332,89.76,46,52,88.46,161,192,83.85,34,47,72.34,RV,RV,RV,24,26,92.31,180,217,82.95
6602043,Greenwood High School,266,283,93.99,12,14,85.71,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,235,250,94.00,RV,RV,RV,55,63,87.30,13,15,86.67,RV,RV,RV,0,0,0.00,60,69,86.96
6603048,Hackett High School,44,46,95.65,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,40,40,100.00,0,0,0.00,22,23,95.65,RV,RV,RV,0,0,0.00,0,0,0.00,23,24,95.83
6604052,Hartford High School,28,32,87.50,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,22,24,91.67,0,0,0.00,28,31,90.32,RV,RV,RV,0,0,0.00,0,0,0.00,28,31,90.32
6605057,Lavaca High School,55,56,98.21,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,52,53,98.11,0,0,0.00,28,29,96.55,RV,RV,RV,0,0,0.00,0,0,0.00,30,31,96.77
6606062,Mansfield High School,75,91,82.42,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,68,80,85.00,0,0,0.00,34,41,82.93,7,11,63.64,RV,RV,RV,0,0,0.00,36,46,78.26
6701003,Dequeen High School,146,158,92.41,79,81,97.53,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,54,60,90.00,0,0,0.00,86,93,92.47,RV,RV,RV,RV,RV,RV,26,28,92.86,90,98,91.84
6703013,Horatio High School,60,62,96.77,14,14,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,44,46,95.65,0,0,0.00,36,38,94.74,RV,RV,RV,0,0,0.00,RV,RV,RV,38,40,95.00
6802002,Cave City High School,93,102,91.18,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,87,95,91.58,0,0,0.00,60,65,92.31,11,11,100.00,0,0,0.00,0,0,0.00,64,69,92.75
6804010,Highland High School,96,105,91.43,0,0,0.00,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,94,102,92.16,0,0,0.00,54,59,91.53,10,10,100.00,0,0,0.00,0,0,0.00,56,61,91.80
6901007,Mountain View High School,81,86,94.19,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,80,84,95.24,0,0,0.00,30,35,85.71,RV,RV,RV,0,0,0.00,0,0,0.00,33,38,86.84
6901012,Rural Special High School,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
6901016,Timbo High School,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,66.67,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
7001012,El Dorado High School,272,355,76.62,22,25,88.00,0,0,0.00,RV,RV,RV,116,172,67.44,0,0,0.00,131,155,84.52,0,0,0.00,135,192,70.31,10,12,83.33,RV,RV,RV,10,11,90.91,140,197,71.07
7003028,Junction City High School,52,61,85.25,0,0,0.00,0,0,0.00,0,0,0.00,19,21,90.48,0,0,0.00,33,40,82.50,0,0,0.00,31,36,86.11,RV,RV,RV,0,0,0.00,0,0,0.00,32,37,86.49
7007040,Parkers Chapel High School,55,59,93.22,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,49,53,92.45,0,0,0.00,10,12,83.33,8,10,80.00,0,0,0.00,0,0,0.00,14,17,82.35
7008036,Norphlet High School,21,23,91.30,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,18,20,90.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
7008045,Smackover High School,64,73,87.67,RV,RV,RV,0,0,0.00,RV,RV,RV,17,20,85.00,0,0,0.00,45,49,91.84,0,0,0.00,27,32,84.38,RV,RV,RV,0,0,0.00,RV,RV,RV,27,32,84.38
7009049,Strong High School,29,32,90.63,RV,RV,RV,0,0,0.00,0,0,0.00,18,20,90.00,0,0,0.00,10,11,90.91,0,0,0.00,25,27,92.59,RV,RV,RV,0,0,0.00,0,0,0.00,25,27,92.59
7102006,Clinton High School,83,92,90.22,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,77,86,89.53,RV,RV,RV,47,55,85.45,RV,RV,RV,RV,RV,RV,RV,RV,RV,48,56,85.71
7104015,Shirley High School,34,37,91.89,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,31,34,91.18,RV,RV,RV,22,25,88.00,RV,RV,RV,RV,RV,RV,0,0,0.00,23,26,88.46
7105019,South Side High School,40,48,83.33,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,38,46,82.61,0,0,0.00,13,18,72.22,RV,RV,RV,0,0,0.00,0,0,0.00,15,20,75.00
7201002,Elkins High School,71,74,95.95,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,64,67,95.52,0,0,0.00,19,20,95.00,RV,RV,RV,0,0,0.00,RV,RV,RV,25,26,96.15
7202006,Farmington High School,161,172,93.60,13,14,92.86,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,137,146,93.84,0,0,0.00,38,42,90.48,11,11,100.00,0,0,0.00,RV,RV,RV,45,49,91.84
7203020,Fayetteville High School,19,32,59.38,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,15,28,53.57,0,0,0.00,RV,RV,RV,9,12,75.00,0,0,0.00,RV,RV,RV,12,16,75.00
7203020,Fayetteville High School East,598,740,80.81,64,88,72.73,RV,RV,RV,23,27,85.19,57,77,74.03,RV,RV,RV,439,528,83.14,11,13,84.62,158,218,72.48,48,69,69.57,0,0,0.00,27,34,79.41,189,258,73.26
7204028,Greenland High School,59,65,90.77,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV,53,59,89.83,0,0,0.00,31,36,86.11,RV,RV,RV,0,0,0.00,RV,RV,RV,31,37,83.78
7205706,Lincoln New Tech High School,89,99,89.90,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0.00,RV,RV,RV,73,79,92.41,0,0,0.00,52,57,91.23,10,10,100.00,RV,RV,RV,RV,RV,RV,54,60,90.00
7206036,Prairie Grove High School,118,127,92.91,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,110,119,92.44,0,0,0.00,39,44,88.64,12,13,92.31,0,0,0.00,RV,RV,RV,46,51,90.20
7207049,Springdale High School,698,823,84.81,372,418,89.00,RV,RV,RV,12,13,92.31,20,26,76.92,57,82,69.51,227,270,84.07,7,10,70.00,450,523,86.04,53,74,71.62,RV,RV,RV,275,318,86.48,504,590,85.42
7207062,Har-ber High School,540,613,88.09,129,161,80.12,RV,RV,RV,13,14,92.86,10,11,90.91,15,32,46.88,359,381,94.23,12,12,100.00,168,208,80.77,32,41,78.05,RV,RV,RV,75,88,85.23,203,246,82.52
7208062,West Fork High School,79,87,90.80,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,73,80,91.25,RV,RV,RV,42,48,87.50,RV,RV,RV,0,0,0.00,0,0,0.00,42,48,87.50
7240703,Haas Hall Academy,64,66,96.97,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,54,56,96.43,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
7301003,Bald Knob High School,95,105,90.48,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,91,101,90.10,RV,RV,RV,44,52,84.62,15,18,83.33,RV,RV,RV,0,0,0.00,48,57,84.21
7302010,Beebe High School,190,231,82.25,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,171,210,81.43,RV,RV,RV,53,75,70.67,20,27,74.07,RV,RV,RV,RV,RV,RV,68,91,74.73
7302703,Badger Academy,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
7303015,Bradford High School,35,35,100.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,35,35,100.00,0,0,0.00,26,26,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,27,27,100.00
7304019,White Co. Central High School,39,43,90.70,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,35,38,92.11,0,0,0.00,23,25,92.00,RV,RV,RV,0,0,0.00,RV,RV,RV,24,27,88.89
7307032,Riverview High School,101,135,74.81,13,15,86.67,0,0,0.00,0,0,0.00,13,15,86.67,0,0,0.00,66,94,70.21,9,11,81.82,58,77,75.32,13,15,86.67,RV,RV,RV,RV,RV,RV,62,81,76.54
7309039,Pangburn High School,44,52,84.62,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,42,50,84.00,0,0,0.00,16,21,76.19,RV,RV,RV,RV,RV,RV,RV,RV,RV,17,23,73.91
7310043,Rose Bud High School,56,68,82.35,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,52,61,85.25,0,0,0.00,28,36,77.78,RV,RV,RV,0,0,0.00,0,0,0.00,28,36,77.78
7311052,Searcy High School,235,289,81.31,7,12,58.33,0,0,0.00,RV,RV,RV,16,28,57.14,0,0,0.00,205,241,85.06,RV,RV,RV,68,94,72.34,9,17,52.94,RV,RV,RV,RV,RV,RV,72,101,71.29
7401003,Augusta High School,25,29,86.21,0,0,0.00,0,0,0.00,0,0,0.00,19,20,95.00,0,0,0.00,RV,RV,RV,0,0,0.00,24,27,88.89,0,0,0.00,RV,RV,RV,0,0,0.00,24,27,88.89
7403013,McCrory High School,38,45,84.44,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,33,38,86.84,RV,RV,RV,23,28,82.14,RV,RV,RV,0,0,0.00,0,0,0.00,25,31,80.65
7503006,Danville High School,50,52,96.15,25,27,92.59,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,20,20,100.00,RV,RV,RV,36,36,100.00,RV,RV,RV,RV,RV,RV,11,11,100.00,36,37,97.30
7504011,Dardanelle High School,130,152,85.53,48,53,90.57,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,74,90,82.22,0,0,0.00,82,96,85.42,14,16,87.50,RV,RV,RV,29,34,85.29,85,102,83.33
7509033,Western Yell Co. High School,40,42,95.24,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,31,32,96.88,RV,RV,RV,26,28,92.86,RV,RV,RV,RV,RV,RV,RV,RV,RV,27,29,93.10
7510019,Two Rivers High School,67,84,79.76,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,61,76,80.26,0,0,0.00,52,66,78.79,10,12,83.33,RV,RV,RV,RV,RV,RV,52,66,78.79
