School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
5102008,Kingston High School,18,18,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,16,16,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
5102024,Oark High School,10,12,83.33,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,10,12,83.33,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
5106002,Deer High School,14,14,100.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,13,13,100.00,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV
5106010,Mount Judea High School,16,16,100.00,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,15,15,100.00,0,0,0.00,12,12,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,12,12,100.00
5201002,Bearden High School,47,53,88.68,0,0,0.00,0,0,0.00,0,0,0.00,24,25,96.00,0,0,0.00,23,28,82.14,0,0,0.00,30,35,85.71,RV,RV,RV,0,0,0.00,0,0,0.00,30,35,85.71
5204023,Camden Fairview High School,146,171,85.38,RV,RV,RV,0,0,0.00,RV,RV,RV,93,106,87.74,RV,RV,RV,46,57,80.70,0,0,0.00,83,100,83.00,14,15,93.33,0,0,0.00,0,0,0.00,87,104,83.65
5205012,Sparkman High School,17,17,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,12,12,100.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV
5205029,Harmony Grove High School,50,56,89.29,RV,RV,RV,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,40,45,88.89,RV,RV,RV,26,28,92.86,RV,RV,RV,0,0,0.00,0,0,0.00,27,30,90.00
5301002,Bigelow High School,38,45,84.44,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,32,39,82.05,0,0,0.00,15,20,75.00,RV,RV,RV,0,0,0.00,0,0,0.00,17,22,77.27
5303011,Perryville High School,81,94,86.17,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,81,94,86.17,0,0,0.00,31,38,81.58,11,12,91.67,0,0,0.00,0,0,0.00,36,43,83.72
5401003,Barton High School,59,67,88.06,0,0,0.00,0,0,0.00,0,0,0.00,34,37,91.89,0,0,0.00,25,30,83.33,0,0,0.00,40,47,85.11,RV,RV,RV,RV,RV,RV,0,0,0.00,40,47,85.11
5403019,Central High School,116,150,77.33,0,0,0.00,0,0,0.00,0,0,0.00,115,146,78.77,0,0,0.00,RV,RV,RV,0,0,0.00,104,136,76.47,9,18,50.00,RV,RV,RV,0,0,0.00,104,137,75.91
5404032,Marvell-Elaine High School,34,48,70.83,0,0,0.00,0,0,0.00,0,0,0.00,28,39,71.79,0,0,0.00,RV,RV,RV,0,0,0.00,29,39,74.36,RV,RV,RV,0,0,0.00,0,0,0.00,29,39,74.36
5440703,Kipp Delta Collegiate High Sch,35,43,81.40,0,0,0.00,0,0,0.00,0,0,0.00,34,42,80.95,0,0,0.00,0,0,0.00,RV,RV,RV,26,34,76.47,0,0,0.00,0,0,0.00,0,0,0.00,26,34,76.47
5502010,Centerpoint High School,73,76,96.05,16,16,100.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,53,56,94.64,RV,RV,RV,42,44,95.45,9,10,90.00,RV,RV,RV,RV,RV,RV,46,49,93.88
5503011,Kirby High School,40,45,88.89,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,38,43,88.37,0,0,0.00,19,23,82.61,RV,RV,RV,0,0,0.00,0,0,0.00,21,25,84.00
