LEA,LEADescription,NumberOfStudentsTakingVoluntaryUnivACT,ParticipatedInRemediation,NumberOfStudentsInCCRPP,NumberOfStudentsTestedInGrades9Thru11,NumberOfStudentsTestedInGrade12,AvgReading,AvgEnglish,AvgMath,AvgScience,AvgComposite,NumberOfStudentsTested,CriticalReadingMean,MathMean,WritingMean,NumberOfStudentsTakingAPCourses,NumberOfAPExamsTaken,NumberOfAPExamsScored3OrAbove,NumberOfStudentsTakingIBCourses,OverallCollegeGoingRate,AfricanAmericanCollegeGoingRate,CaucasianCollegeGoingRate,HispanicCollegeGoingRate,SPEDCollegeGoingRate,EconDisadCollegeGoingRate,LEPCollegeGoingRate,OverallCCAR,AfricanAmericanCCAR,CaucasianCCAR,HispanicCCAR,SPEDCCAR,EconDisadCCAR,LEPCCAR
7203020,Fayetteville High School East,,,,514,469,25.13,24.35,23.43,23.82,24.34,,RV,RV,RV,,,,,61.1,,,,,,,,,,,,,
7204028,Greenland High School,,,,57,33,21.06,20.42,20.18,21.70,21.03,1,RV,RV,RV,21,26,5,,30.4,RV,,,,,,,RV,,,,,
7205706,Lincoln New Tech High School,98,,,121,62,20.11,18.65,18.89,19.87,19.55,1,RV,RV,RV,14,12,3,,35.1,RV,,,,,,,RV,,,,,
7206036,Prairie Grove High School,138,,,168,115,20.78,19.91,20.50,20.56,20.62,8,RV,RV,RV,242,399,124,,58,RV,,,,,,,RV,,,,,
7207047,Central Junior High School,,,,,,,,,,,0,RV,RV,RV,42,37,21,,,,,,,,,,,,,,,
7207048,Southwest Junior High School,,,,,,,,,,,,RV,RV,RV,12,,,,,,,,,,,,,,,,,
7207049,Springdale High School,,,,281,330,20.78,19.23,19.74,20.35,20.22,17,571.00,600.00,541.00,676,834,255,450,40.8,,,,,,,,,,,,,
7207060,George Junior High School,,,,,,,,,,,,RV,RV,RV,22,,,,,,,,,,,,,,,,,
7207062,Har-Ber High School,,,,378,369,23.04,22.21,21.78,22.52,22.58,25,562.00,575.00,554.00,887,1480,667,,56.8,,,,,,,,,,,,,
7207070,Lakeside Junior High School,,,,,,,,,,,,RV,RV,RV,13,,,,,,,,,,,,,,,,,
7208062,West Fork High School,,,,56,46,21.65,21.63,20.17,21.11,21.30,0,RV,RV,RV,59,75,24,,43.6,RV,,,,,,,RV,,,,,
7240703,Haas Hall Academy             ,,,,128,66,28.05,28.47,25.77,26.26,27.27,23,644.00,623.00,614.00,174,360,261,,65.2,RV,,,,,,,RV,,,,,
7301003,Bald Knob High School,,,,85,67,21.85,21.21,20.36,20.97,21.22,0,RV,RV,RV,42,63,5,,47.8,RV,,,,,,,RV,,,,,
7302010,Beebe High School,182,,,236,190,21.27,19.73,20.01,21.07,20.67,5,RV,RV,RV,141,253,132,,47.1,,,,,,,,,,,,,
7303015,Bradford High School,,,,21,18,22.17,18.94,19.39,21.28,20.50,0,RV,RV,RV,14,10,1,,37.5,RV,,RV,,,,,RV,,RV,,,
7304019,White Co. Central High School,41,,,48,36,19.11,16.61,17.11,19.08,18.08,0,RV,RV,RV,14,11,1,,53.8,RV,,,,,,,RV,,,,,
7307032,Riverview High School,,,,43,97,19.19,17.97,18.29,19.01,18.75,1,RV,RV,RV,57,112,12,,37.2,,,,,,,,,,,,,
7309039,Pangburn High School,,,,49,31,21.42,20.32,19.84,20.61,20.74,0,RV,RV,RV,33,31,6,,50,RV,,,,,,,RV,,,,,
7310043,Rose Bud High School,,,,31,40,23.70,21.98,20.25,22.68,22.18,1,RV,RV,RV,38,40,6,,49.2,RV,,,,,,,RV,,,,,
7311052,Searcy High School,,,,284,210,23.93,23.45,22.64,22.93,23.42,14,564.00,577.00,538.00,244,437,146,,53.4,,,,,,,,,,,,,
7401003,Augusta High School,,,,11,15,17.80,15.73,18.13,18.20,17.40,0,RV,RV,RV,14,16,3,,37.8,,,RV,,,,,,,RV,,,
7403013,McCrory High School,,,,28,26,22.81,21.81,21.85,21.92,22.19,0,RV,RV,RV,34,59,2,,58.7,,,RV,,,,,,,RV,,,
7503006,Danville High School,,,,49,42,19.31,17.10,17.88,18.62,18.33,1,RV,RV,RV,39,40,6,,48.2,RV,,,,,,,RV,,,,,
7504011,Dardanelle High School,,,,71,70,23.64,22.40,21.80,22.77,22.80,0,RV,RV,RV,95,175,33,,57.7,,,,,,,,,,,,,
7509033,Western Yell Co. High School,,,,24,27,21.89,20.85,20.96,21.07,21.44,0,RV,RV,RV,29,25,0,,45.8,RV,,,,,,,RV,,,,,
7510019,Two Rivers High School,40,,,51,52,20.15,18.58,18.29,19.56,19.29,1,RV,RV,RV,22,20,1,,36.4,RV,,,,,,,RV,,,,,
