LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
1408001,Emerson Elementary School,183,8
1408002,Emerson High School,121,6
1408006,Bradley Elementary School,160,5
1408007,Bradley High School,174,5
1408018,Taylor Elementary School,203,10
1408019,Taylor High School,146,7
1503016,Nemo Vista Elementary School,170,9
1503017,Nemo Vista High School,155,4
1503018,Nemo Vista Middle School,104,0
1505025,Wonderview Elementary School,237,3
1505026,Wonderview High School,180,0
1507029,Morrilton Elementary School,363,0
1507031,Morrilton Intermediate School,502,0
1507032,Morrilton Primary School,397,0
1507036,Morrilton Sr. High School,668,0
1507037,Morrilton Junior High School,364,0
1601001,Bay Elementary School,330,8
1601002,Bay High School,256,8
1602055,Westside High School,662,27
1602056,Westside Elementary School,620,14
1602058,Westside Middle School,427,6
1603006,Brookland Elementary School,724,31
1603007,Brookland High School,391,20
1603009,Brookland Middle School,510,17
1603010,Brookland Junior High School,472,18
1605060,Buffalo Is. Central West Elem.,242,2
1605061,Buffalo Is. Central East Elem.,197,0
1605062,Buffalo Is. Central Jhs,198,1
1605063,Buffalo Is. Central Hs,175,0
1608017,Math & Science Magnet School,566,0
1608019,Visual & Performing Art Magnet,699,28
1608020,Health/Wellness Envi Magnet,638,6
1608021,International Studies Magnet,478,28
1608022,Microsociety Magnet School,545,1
1608023,Annie Camp Jr. High School,635,5
1608024,Douglas MacArthur Jhs,647,24
1608026,Kindergarten Center,531,0
1611039,Fox Meadow Elementary,440,13
1611040,University Hgts. Elem. School,433,10
1611041,Nettleton Junior High School,515,18
1611042,Nettleton High School,876,45
1611043,Nettleton Intermediate Center,423,16
1611045,Fox Meadow Intermediate Center,345,13
1611046,Nettleton Middle School,232,7
1612047,Valley View Elementary School,634,29
1612048,Valley View High School,585,36
1612050,Valley View Intermediate School,846,27
1612051,Valley View Junior High School,618,8
1613010,Riverside East Elem. School,178,0
1613021,Riverside High School,371,6
1613031,Riverside West Elem. School,253,3
1701001,Alma Intermediate School,671,57
1701002,Alma High School,1052,95
1701003,Alma Middle School,792,67
1701004,Alma Primary School,706,45
1702008,Cedarville Elementary School,307,11
1702009,Cedarville High School,299,24
1702010,Cedarville Middle School,265,6
1703012,Mountainburg Elementary School,231,20
1703013,Mountainburg High School,206,8
1703022,Mountainburg Middle School,223,25
1704016,Marvin Primary School,164,2
1704017,Mulberry High School,84,1
1704018,Pleasant View Junior High,69,0
1704022,Millsap Intermediate School,49,0
1705020,City Heights Elementary School,362,5
1705022,King Elementary School,526,7
1705025,Central Elementary School,430,9
1705026,Butterfield Trail Middle Schoo,676,12
1705027,Van Buren High School,1825,57
1705029,James R. Tate Elem. School,380,6
1705030,Parkview Elementary School,484,9
1705032,Rena Elementary School,488,16
1705033,Northridge Middle School,657,27
1802005,Earle Elementary School,307,0
1802007,Earle High School,305,0
1803025,Bragg Elementary School,442,64
1803026,Faulk Elementary School,575,0
1803027,Jackson Elementary School,312,1
1803028,Maddux Elementary School,506,0
1803029,Richland Elementary School,567,138
1803030,Weaver Elementary School,353,0
1803032,Wonder Elementary School,373,0
1803033,East Junior High School,337,1
1803034,West Junior High School,424,68
1803035,Wonder Junior High School,420,0
1804011,Avondale Elementary School,669,5
1804012,Marion Elementary School,630,7
1804014,Marion Junior High School,689,4
1804015,Marion High School,890,7
1804016,Marion Middle School,627,10
1804017,Marion Intermediate School,617,5
1905014,Wynne Primary School,688,8
1905015,Wynne Intermediate School,654,17
1905016,Wynne Junior High School,659,19
1905017,Wynne High School,809,21
2002007,Fordyce High School,382,14
2002008,Fordyce Elementary Schools,454,17
2104017,Central Elementary School,333,0
2104020,Dumas Junior High School,335,0
2104021,Dumas High School,328,1
2104024,Reed Elementary School,405,1
2105026,McGehee Elementary School,657,0
2105028,McGehee High School,507,1
2202004,Drew Central Elem. School,337,18
2202005,Drew Central High School,305,11
2202007,Drew Central Middle School,295,6
2203010,Monticello Elementary School,542,0
2203011,Monticello Middle School,452,0
2203012,Monticello High School,670,17
2203014,Monticello Intermediate School,427,0
2301001,Ida Burns Elementary School,409,0
2301003,Ellen Smith Elementary School,442,0
2301004,Carl Stuart Middle School,750,0
2301006,Conway High School,2035,1
