LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
6092001,Ark. School For The Deaf Elem.,86,0
6092002,Ark. School For The Deaf H.S.,38,0
6094001,Arkansas Consolidated High School-Alexander,93,0
6094002,Arkansas Consolidated High School-Dermott,46,0
6094004,Arkansas Consolidated High School-Lewisville,29,0
6094005,Arkansas Consolidated High School-Mansfield,43,0
6094006,Arkansas Consolidated High School-Harrisburg,33,0
6094007,Arkansas Consolidated High School-Colt,28,0
6102005,Maynard Elementary School,235,8
6102006,Maynard High School,210,31
6103009,Alma Spikes Elementary School,452,28
6103010,Pocahontas High School,425,42
6103011,Pocahontas Upper Elem. School,552,36
6103012,Pocahontas Junior High School,454,34
6201003,Central Elementary School,692,0
6201010,Forrest City Jr. High,418,0
6201011,Forrest City High School,820,0
6201014,Stewart Elementary School,364,0
6202022,Mildred Jackson Elem. School,172,0
6202024,Hughes High School,146,0
6205027,Palestine-Wheatley Elem. Sch.,381,39
6205028,Palestine-Wheatley Senior High,386,48
6301001,Pine Haven Elementary School,546,61
6301002,Bauxite High School,487,107
6301003,Bauxite Middle School,510,117
6302006,Caldwell Elementary School,558,32
6302007,Angie Grant Elementary School,587,12
6302008,Perrin Elementary School,631,33
6302009,Ringgold Elementary School,551,33
6302010,Benton Junior High School,817,47
6302011,Benton Middle School,757,61
6302012,Benton High School,1099,69
6303018,Hill Farm Elementary School,605,3
6303020,Bryant Elementary School,747,34
6303022,Bryant High School,2714,54
6303023,Salem Elementary School,621,7
6303024,Robert L. Davis Elem. School,519,7
6303025,Springhill Elementary School,621,0
6303026,Bryant Middle School,1084,34
6303027,Collegeville Elementary School,573,4
6303028,Bethel Middle School,920,8
6303029,Hurricane Creek Elementary,545,11
6303036,Paron Elementary School,68,0
6304029,Westbrook Elementary School,444,46
6304030,Harmony Grove High School,366,64
6304031,Harmony Grove Middle School,343,35
6401001,Waldron Elementary School,588,0
6401003,Waldron High School,453,0
6401004,Waldron Middle School,480,2
6502001,Leslie Intermediate School,158,0
6502005,Marshall Elementary School,243,0
6502006,Marshall High School,415,0
6505009,St. Joe Elementary School,82,1
6505010,St. Joe High School,93,0
6505011,Bruno-Pyatt High School,98,2
6505012,Bruno-Pyatt Elementary School,126,0
6505013,Western Grove Elem. School,144,3
6505014,Western Grove High School,114,3
6601001,Ballman Elementary School,273,0
6601002,Barling Elementary School,393,1
6601003,Beard Elementary School,300,1
6601005,Belle Point Alternative Center,79,0
6601006,Bonneville Elementary School,335,0
6601007,Carnall Elementary School,264,0
6601008,Cavanaugh Elementary School,274,1
6601010,Fairview Elementary School,619,0
6601011,Howard Elementary School,324,0
6601012,Raymond F. Orr Elem. School,357,1
6601014,Albert Pike Elementary School,509,0
6601016,Spradling Elementary School,429,0
6601017,Sunnymede Elementary School,665,0
6601018,Sutton Elementary School,524,0
6601019,Trusty Elementary School,327,0
6601020,L. A. Chaffin Jr. High School,890,0
6601021,William O. Darby Jr. High Sch.,640,0
6601022,Dora Kimmons Jr. High School,835,0
6601023,Ramsey Junior High School,934,0
6601024,Northside High School,1641,5
6601025,Southside High School,1561,0
6601029,John P. Woods Elem. School,527,3
6601030,Harry C. Morrison Elem. School,243,0
6601031,Elmer H. Cook Elem. School,539,5
6601032,Tilles Elementary School,365,0
6601033,Euper Lane Elementary School,470,0
6602042,Greenwood Junior High School,614,33
6602043,Greenwood High School,840,35
6602044,Westwood Elementary School,828,23
6602045,East Hills Middle School,540,28
6602046,East Pointe Elementary School,799,33
6603047,Hackett Elementary School,310,55
6603048,Hackett High School,300,68
6604051,Hartford Elementary School,149,0
6604052,Hartford High School,149,0
6605056,Lavaca Elementary School,360,8
6605057,Lavaca High School,236,4
6605058,Lavaca Middle School,254,6
6606060,Mansfield Elementary School,293,3
6606061,Mansfield Middle School,252,8
6606062,Mansfield High School,294,11
6701001,Dequeen Elementary School,524,0
6701002,Dequeen Primary,667,1
6701003,Dequeen High School,491,1
6701004,Dequeen Middle School,384,0
6701005,Dequeen Junior High School,349,0
6703012,Horatio Elementary School,482,0
6703013,Horatio High School,373,4
6802001,Cave City Elementary School,486,30
6802002,Cave City High School,401,26
6802007,Cave City Middle School,397,27
6804009,Cherokee Elementary School,617,0
6804010,Highland High School,473,7
6804011,Highland Middle School,511,6
6901005,Mountain View Elem. School,493,0
6901006,Mountain View Middle School,379,0
6901007,Mountain View High School,367,1
6901011,Rural Special Elem. School,125,4
6901012,Rural Special High School,92,2
6901015,Timbo Elementary School,119,3
6901016,Timbo High School,86,1
7001001,Hugh Goodwin Elementary School,468,16
7001004,Northwest Elementary School,490,5
7001005,Retta Brown Elementary School,291,3
7001009,Yocum Elementary School,578,2
7001010,Barton Jr. High School,669,7
7001011,Washington Middle School,684,7
7001012,El Dorado High School,1322,21
7003027,Junction City Elem. School,340,1
7003028,Junction City High School,339,6
7007039,Parkers Chapel Elem. School,424,29
7007040,Parkers Chapel High School,359,26
7008035,Norphlet Elementary School,182,3
7008036,Norphlet High School,177,4
7008043,Smackover Elementary School,418,16
7008045,Smackover High School,405,18
7009048,Gardner-Strong Elem. School,180,0
7009049,Strong High School,155,0
7102005,Cowsert Elementary School,389,16
7102006,Clinton High School,253,13
7102007,Clinton Intermediate School,340,14
7102008,Clinton Jr High School,311,19
7104014,Shirley Elementary School,211,3
7104015,Shirley High School,201,0
7105018,South Side Elementary School,252,1
7105019,South Side High School,245,3
7201001,Elkins Elementary School,222,32
7201002,Elkins High School,373,31
7201003,Elkins Middle School,281,34
7201004,Elkins Elem. Primary School,236,15
7202005,George R Ledbetter Intermediat,362,21
7202006,Farmington High School,708,20
7202007,Randall G. Lynch Middle School,556,23
7202008,"Jerry ""pop"" Williams Elem Sch",374,7
7202009,Bob Folsom Elementary School,321,23
7203010,Asbell Elementary School,389,7
7203012,Butterfield Elementary School,631,0
7203013,Happy Hollow Elementary School,493,3
7203015,Leverett Elementary School,321,7
7203016,Root Elementary School,494,0
7203017,Washington Elementary School,342,2
7203018,Ramay Junior High School,652,5
7203019,Woodland Junior High School,756,1
7203020,Fayetteville High School East,2001,25
7203022,Holcomb Elementary School,587,0
7203023,Vandergriff Elementary School,688,1
7203024,McNair Middle School,693,0
7203025,Holt Middle School,606,4
7203027,Owl Creek School,850,5
7204027,Greenland Elementary School,304,4
7204028,Greenland High School,276,1
7204029,Greenland Middle School,256,1
7205031,Lincoln Elementary School,334,0
7205033,Lincoln Middle School,343,0
7206035,Prairie Grove Elem. School,400,6
7206036,Prairie Grove High School,588,3
7206038,Prairie Grove Middle School,570,1
7206039,Prairie Grove Intermediate,282,5
7207040,Elmdale Elementary School,539,0
7207041,Jones Elementary School,573,0
7207042,Robert E. Lee Elem. School,511,0
7207044,John Tyson Elementary School,537,2
7207046,Westwood Elementary School,512,0
7207047,Central Junior High School,952,1
7207048,Southwest Junior High School,681,2
7207049,Springdale High School,2399,1
7207050,Parson  Hills Elem. School,552,0
7207051,Thurman G. Smith Elem. School,616,1
7207052,Walker Elementary School,533,1
7207053,George Elementary School,651,0
7207054,J. O. Kelly Middle School,690,0
7207055,Helen Tyson Middle School,751,2
7207057,Bernice Young Elementary,524,0
7207058,Harp Elementary School,626,0
7207059,Bayyari Elementary School,606,0
7207060,George Junior High School,719,0
7207061,Hellstern Middle School,1006,0
7207062,Har-Ber High School,2041,1
7207063,Hunt Elementary School,615,0
7207064,Turnbow Elementary School,818,0
7207065,Monitor Elementary,798,0
7207066,Willis Shaw Elementary Sch,580,0
7207068,Sonora Elementary School,715,1
7207069,Sonora Middle School,823,0
7207070,Lakeside Junior High School,752,0
7208060,West Fork Elementary School,393,72
7208061,West Fork Middle School,333,82
7208062,West Fork High School,396,88
7301001,H.L. Lubker Elementary School,549,15
7301003,Bald Knob High School,405,19
7301004,Bald Knob Middle School,303,15
7302008,Beebe Elementary School,392,4
7302009,Beebe Junior High School,466,10
7302010,Beebe High School,943,21
7302011,Beebe Middle School,518,6
7302013,Badger Elementary,361,6
7302014,Beebe Early Childhood,556,2
7303014,Bradford Elementary School,252,0
7303015,Bradford High School,193,0
7304018,White Co. Central Elem. School,382,2
7304019,White Co. Central High School,298,5
7307026,Judsonia Elementary School,355,18
7307030,Kensett Elementary School,378,13
7307032,Riverview High School,432,37
7307033,Riverview Junior High School,204,14
7309038,Pangburn Elementary School,395,9
7309039,Pangburn High School,371,6
7310042,Rose Bud Elementary School,433,13
7310043,Rose Bud High School,409,12
7311046,Sidney Deener Elem. School,430,10
7311047,McRae Elementary School,469,7
7311051,Ahlf Junior High School,658,13
7311052,Searcy High School,1175,29
7311053,Westside Elementary School,513,3
7311054,Southwest Middle School,897,14
7401001,Augusta Elementary School,211,0
7401003,Augusta High School,163,0
7403012,McCrory Elementary School,312,16
7403013,McCrory High School,314,16
7503005,S.C. Tucker Elementary School,406,40
7503006,Danville High School,241,24
7503007,Danville Middle School,217,31
7504009,Dardanelle Intermediate School,307,5
7504010,Dardanelle Middle School,491,7
7504011,Dardanelle High School,564,6
7504013,Dardanelle Primary School,735,5
7509030,Western Yell Co. Elem. School,214,7
7509033,Western Yell Co. High School,209,10
7510019,Two Rivers High School,491,6
7510024,Two Rivers Elementary School,303,0
