LEA,LEADescription,OverallAttendanceRate,HispanicAttendanceRate,AfricanAmericanAttendanceRate,CaucasianAttendanceRate,EconDisadAttendanceRate,SPEDAttendanceRate,LEPAttendanceRate,TAGGAttendanceRate,OverallGraduationRate,HispanicGraduationRate,AfricanAmericanGraduationRate,CaucasianGraduationRate,EconDisadGraduationRate,SPEDGraduationRate,LEPGraduationRate,TAGGGraduationRate,DropoutRate,GradeInflationRateEOC,GradeInflationRateACT,CollegeRemediationRate,DistrictProvidesTextbooks,Oct1Enrollment,Accredited,AccreditedCited,AccreditedProbationary,NeedsImprovement,NeedsImprovementPriority,NeedsImprovementPriorityMetYear1ExitCriteria,NeedsImprovementFocus,NeedsImprovementFocusMetYear1ExitCriteria,Achieving,Exemplary,Rating,OverallPoints,A_Rating_Count,B_Rating_Count,C_Rating_Count,D_Rating_Count,F_Rating_Count
0303703,Mtn Home High Career Academics,91.99,91.73,84.37,92.04,92.29,91.64,99.05,91.94,84.21,100.00,RV,83.91,79.53,66.67,RV,78.63,3.23,,28.80,43.56,Y,1226,N,Y,N,Y,N,N,N,N,N,N,B,240,0,1,0,0,0
0304021,Norfork Elementary School,95.13,96.43,88.89,95.6,96.09,95.76,0,95.87,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,252,N,Y,N,N,N,N,N,N,Y,N,B,263,0,1,0,0,0
0304022,Norfork High School,93.54,93.94,69.44,93.46,94.53,91.97,0,94.23,97.14,RV,RV,100.00,96.67,RV,RV,96.67,1.36,,20.00,45.45,Y,220,N,Y,N,N,N,N,N,N,Y,N,B,257,0,1,0,0,0
0401001,Thomas Jefferson Elem. School,94.48,94.67,96.51,94.18,94.59,93.71,93.57,94.09,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,490,Y,N,N,Y,N,N,N,N,N,N,C,219,0,0,1,0,0
0401002,Washington Junior High School,94.9,95.41,95.22,94.05,94.11,94.68,96.58,94.91,RV,RV,RV,RV,RV,RV,RV,RV,0.41,,,,Y,734,Y,N,N,Y,N,N,N,N,N,N,B,248,0,1,0,0,0
0401003,Bentonville High School,92.4,92.78,94.93,89.8,91.33,92.77,94.14,92.07,88.72,87.18,87.10,88.85,71.58,73.49,87.50,74.59,1.2,,12.70,36.97,Y,4358,N,Y,N,Y,N,N,N,N,N,N,B,264,0,1,0,0,0
0401004,R.E. Baker Elementary School,95.47,94.18,97.61,95.07,95.21,95.44,97.02,95.5,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,551,Y,N,N,Y,N,N,N,N,N,N,C,235,0,0,1,0,0
0401005,Old High Middle School,94.05,93.99,94.98,93.07,94.08,93.22,94.91,93.94,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,598,Y,N,N,Y,N,N,N,N,N,N,C,232,0,0,1,0,0
0401006,Sugar Creek Elementary School,94.68,95.11,96.1,94.18,94.71,94.49,96.62,94.86,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,514,Y,N,N,N,N,N,N,N,Y,N,B,248,0,1,0,0,0
0401007,Apple Glen Elementary School,94.81,94.26,94.39,94.43,95.91,95.86,95.71,95.55,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,533,Y,N,N,Y,N,N,N,N,N,N,C,230,0,0,1,0,0
0401008,Ardis Ann Middle School,95.2,94.94,97.61,95.12,95.06,92.83,95.82,94.62,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,623,Y,N,N,Y,N,N,N,N,N,N,C,229,0,0,1,0,0
0401009,Elm Tree Elementary School,95.14,95.3,96.28,94.79,95.32,94.47,94.17,94.79,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,610,Y,N,N,Y,N,N,N,N,N,N,C,237,0,0,1,0,0
0401010,Lincoln Junior High School,93.8,93.08,91.92,93.36,93.03,92.94,96.75,93.83,RV,RV,RV,RV,RV,RV,RV,RV,0,,,,Y,830,Y,N,N,Y,N,N,N,N,N,N,B,251,0,1,0,0,0
0401011,Mary Mae Jones Elem. School,95.07,95.78,94.92,94.38,95.23,94.82,96.15,95.14,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,634,Y,N,N,Y,N,N,N,N,N,N,D,209,0,0,0,1,0
0401012,Central Park At Morning Star,95.15,94.56,97.09,95.09,94.65,95.18,96.01,95.03,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,876,Y,N,N,Y,N,N,N,N,N,N,B,249,0,1,0,0,0
0401013,Ruth Barker Middle School,95.07,95.05,93.34,93.71,95.41,95.02,96.81,95.73,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,571,Y,N,N,Y,N,N,N,N,N,N,C,233,0,0,1,0,0
