LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
5804015,Pottsville Middle Grade,,,,
5804016,Pottsville Junior High School,,,,
5805017,Crawford Elementary School,,2,7,3
5805018,Dwight Elementary School,,,1,8
5805019,London Elementary School,,1,,5
5805020,Oakland Heights Elem. School,,,,
5805021,Sequoyah Elementary School,,1,28,33
5805022,Russellville Middle School,,1,,1
5805023,Russellville Jr. High School,,5,,8
5805024,Russellville High School,,1,,3
5805025,Center Valley Elem. School,,,,
5805026,Russellville Upper Elem. Sch.,,,,
5901001,Des Arc Elementary School,,2,,
5901002,Des Arc High School,,,,
5903011,Hazen Elementary School,,,2,
5903012,Hazen High School,,,,
6001001,Central High School,,3,5,11
6001002,Hall High School,,12,8,24
6001003,Mann Magnet Middle School,1,1,2,18
6001005,Parkview Magnet High School,,1,,3
6001006,Booker Arts Magnet Elem. Sch.,,,,1
6001007,Dunbar Magnet Middle School,,4,2,8
6001009,Forest Heights Middle School,,,,
6001010,Pulaski Heights Middle School,,,4,8
6001013,Henderson Middle School,,2,3,8
6001017,Bale Elementary School,,,,2
6001018,Brady Elementary School,,,,
6001020,McDermott Elementary School,,,,
6001021,Carver Magnet Elem. School,,,,
6001023,Fair Park Early Childhood Ctr,,,,
6001024,Forest Park Elementary School,,1,,
6001025,Franklin Incentive Elem. Sch.,,,,
6001027,Gibbs Magnet Elementary School,,,,1
6001029,Western Hills Elem. School,,1,,
6001030,Jefferson Elementary School,,,,
6001033,Meadowcliff Elementary School,,2,,
6001035,M.L. King Magnet Elem. School,,,4,5
6001038,Pulaski Heights Elem. School,,,,
6001040,Romine Interdist. Elem. School,,1,1,
6001041,Stephens Elementary,,,1,
6001042,Washington Magnet Elem. School,,1,2,2
6001043,Williams Magnet Elem. School,,,,1
6001044,Wilson Elementary School,,,1,
6001045,Woodruff Early Childhood Ctr,,,,
6001047,Terry Elementary School,,,1,
6001048,Fulbright Elementary School,,,,2
6001050,Rockefeller Incentive Elem.,,,,
6001052,Baseline Elementary School,,,,
6001055,David O'Dodd Elementary School,,1,,1
6001056,Geyer Springs Gifted And Talented Academy,,,,
6001057,Mabelvale Elementary School,,3,2,
6001058,Otter Creek Elementary School,,,,6
6001059,Wakefield Elementary School,,2,2,3
6001062,Mabelvale Middle School,,,2,19
6001063,J.A. Fair High School,,3,7,19
6001064,McClellan Magnet High School,1,6,10,18
6001067,Alternative Agencies,,,,
6001068,Accelerated Learning Program,,,,
6001070,W.D. Hamilton Learning Academy,,,,
6001071,Watson Intermediate School,,,,1
6001072,Chicot Primary School,,2,,
6001073,Don Roberts Elementary School,,3,,
6001074,Felder Middle Sch Learn Academ,,,,
6001075,Forest Heights Stem Academy,,,,
6001702,Cloverdale Aerospace Tech Char,,3,2,24
6002050,Amboy Elementary School,,3,4,2
6002054,Boone Park Elementary School,,2,11,18
6002055,Crestwood Elementary School,1,1,19,15
6002056,Glenview Elementary School,,,,1
6002057,Indian Hills Elementary School,,,3,18
6002058,Lakewood Elementary School,,2,2,4
6002060,Lynch Drive Elementary School,,,,
6002061,Meadow Park Elementary School,,4,3,3
6002063,No. Heights Elementary School,,2,1,
6002064,Park Hill Elementary School,,,1,
6002065,Pike View Elementary School,,1,2,25
6002067,Redwood Pre-School,,,,
6002069,Seventh Street Elem. School,,1,,
6002070,Lakewood Middle School,1,3,2,22
6002080,North Little Rock Academy,,1,13,35
6002081,Ridgeroad Middle School,,3,9,18
6002082,North Little Rock High School,6,5,,12
6003090,Adkins Pre-K Center,,,,
6003092,Baker Interdistrict Elem. Sch.,,,,
6003093,Crystal Hill Elementary,,1,1,1
6003094,Bayou Meto Elementary School,,,,
6003095,Clinton Elementary School,,1,,1
6003099,Warren Dupree Elem. School,,2,2,3
6003102,Harris Elementary School,,,4,
6003104,Landmark Elementary School,,,,2
6003105,Lawson Elementary School,,2,,
6003106,Tolleson Elementary School,,1,,1
6003108,Oak Grove Elementary School,,,,3
6003110,Joe T. Robinson Elem. School,,2,,
6003111,Scott Elementary School,,,,1
6003112,Sherwood Elementary School,,1,,
6003113,Sylvan Hills Elementary School,,3,1,3
6003119,Jacksonville Middle School,3,4,3,14
6003120,Fuller Middle School,1,,1,2
6003122,Sylvan Hills Middle School,8,2,2,11
6003123,Jacksonville High School,8,6,1,4
6003125,Wilbur D. Mills High School,3,5,1,1
6003127,Joe T. Robinson High School,2,4,,10
6003128,Sylvan Hills High School,3,,,
6003129,Cato Elementary School,,4,,6
6003130,Pinewood Elementary School,,1,3,6
6003135,College Station Elem. School,,1,,4
6003136,North Pulaski High School,,3,,6
6003137,Arnold Drive Elementary School,,,,2
6003139,Oakbrooke Elementary School,,2,,14
6003140,Northwood Middle School,1,3,3,20
6003141,Murrell Taylor Elem. School,,5,13,25
6003142,Pine Forest Elementary School,,3,,
6003143,Joe T. Robinson Middle School,1,3,,8
6003146,Bates Elementary School,,7,2,3
6003149,Maumelle Middle School,1,8,3,9
6003150,Chenal Elementary School,,,2,
6003151,Maumelle High School,3,2,1,1
6040702,Academics Plus,,,1,
6040703,Academics Plus  High,,,,1
6041701,Lisa Academy North Elementary Charter School,,,,
6041702,Lisa Academy,,,,4
6041703,Lisa Academy High,,,,
6041705,Lisa Academy North Middle Charter School,,,,
6041706,Lisa Academy North High Charter School,,,,
6042700,Dreamland Academy,,,,
6043701,Ark Virtual Academy Elementary,,,,
6043702,Ark Virtual Academy Middle Sch,,,,
6043703,Arkansas Virtual Academy High School,,,,
6044702,Covenant Keepers Charter,,,1,
6044703,Covenant Keepers High,,,,
6045701,Estem Elementary Charter,,,,
6046702,Estem Middle School,,,,
6047701,Estem Elementary School,,,,
6047702,Estem Middle School,,,,
6047703,Estem High Charter,,1,,
6048701,Lisa Academy North Elem,,,,
6048702,Lisa Academy North Middle,,,,
6048703,Lisa Academy-Nlr High School,,,,
6049701,Little Prep Academy Elementary,,,,
6049702,Little Rock Prep Academy,,,,
6050701,Jacksonville Lighthouse Charte,,,,
6050702,Jacksonville Lighthouse Middle,,,,
6050703,College Prep Academy,,,,
6050705,Flightline Upper Academy,,,,4
6051700,Lr Urban Collegiate Public Charter,,,,
6052703,Siatech High Charter,,,,
6053703,Premier High School OF Little Rock,,,,
6054703,Quest Middle School OF Little Rock,,,,1
6055702,Exalt Academy OF Southwest Little Rock,,,4,3
6091001,Ark. School For The Blind Elem,,,,
6091002,Ark. School For The Blind H.S.,,,,
6092001,Ark. School For The Deaf Elem.,,,13,18
6092002,Ark. School For The Deaf H.S.,,,1,1
6094001,Arkansas Consolidated High School-Alexander,,,,
6094002,Arkansas Consolidated High School-Dermott,,,,
6094004,Arkansas Consolidated High School-Lewisville,,,,
6094005,Arkansas Consolidated High School-Mansfield,,,,
6094006,Arkansas Consolidated High School-Harrisburg,,,,
6094007,Arkansas Consolidated High School-Colt,,,,
6102005,Maynard Elementary School,,,,
6102006,Maynard High School,,,,
6103009,Alma Spikes Elementary School,,,,
6103010,Pocahontas High School,,,,
6103011,Pocahontas Upper Elem. School,,,,
6103012,Pocahontas Junior High School,,,,
6201003,Central Elementary School,,5,4,13
6201010,Forrest City Jr. High,,1,3,17
6201011,Forrest City High School,1,2,3,1
6201014,Stewart Elementary School,,2,2,1
6201702,Lincoln Academy OF Excellence,0,2,,4
6202022,Mildred Jackson Elem. School,,,,
6202024,Hughes High School,1,,,
6205027,Palestine-Wheatley Elem. Sch.,,,,1
6205028,Palestine-Wheatley Senior High,2,,,1
6205031,Palestine-Wheatley Middle Sch.,,,,
6301001,Pine Haven Elementary School,,,,
6301002,Bauxite High School,1,1,,1
6301003,Bauxite Middle School,,,,
6301703,Miner Academy,,,,
6302006,Caldwell Elementary School,,,,
6302007,Angie Grant Elementary School,,2,,
6302008,Perrin Elementary School,,,,
6302009,Ringgold Elementary School,,2,,
6302010,Benton Junior High School,7,1,,1
6302011,Benton Middle School,2,1,,1
6302012,Benton High School,3,1,,
6303018,Hill Farm Elementary School,,,,
6303020,Bryant Elementary School,,,,
6303022,Bryant High School,,5,,2
6303023,Salem Elementary School,,,,
6303024,Robert L. Davis Elem. School,,,,
6303025,Springhill Elementary School,,,,
6303026,Bryant Middle School,,1,,2
6303027,Collegeville Elementary School,,,,
6303028,Bethel Middle School,,1,,
6303029,Hurricane Creek Elementary,,,,
6303036,Paron Elementary School,,,,
6304029,Westbrook Elementary School,,,,
6304030,Harmony Grove High School,1,2,,
6304031,Harmony Grove Middle School,,,,
6401001,Waldron Elementary School,,,1,
6401003,Waldron High School,3,9,4,1
6401004,Waldron Middle School,,4,,1
6502001,Leslie Intermediate School,,,,
6502005,Marshall Elementary School,,,,
6502006,Marshall High School,,,,
6505009,St. Joe Elementary School,,1,,1
6505010,St. Joe High School,,1,,1
6505011,Bruno-Pyatt High School,,,,
6505012,Bruno-Pyatt Elementary School,,,1,1
6505013,Western Grove Elem. School,,,1,
6505014,Western Grove High School,,2,,1
6601001,Ballman Elementary School,,1,,2
6601002,Barling Elementary School,,1,,
6601003,Beard Elementary School,,,,
6601005,Belle Point Alternative Center,,2,9,3
6601006,Bonneville Elementary School,,,,
6601007,Carnall Elementary School,,,,
6601008,Cavanaugh Elementary School,,,,
6601010,Fairview Elementary School,,,,
6601011,Howard Elementary School,,,,
6601012,Raymond F. Orr Elem. School,,,,
6601014,Albert Pike Elementary School,,,,
6601016,Spradling Elementary School,,1,,
6601017,Sunnymede Elementary School,,1,,
6601018,Sutton Elementary School,,,,
6601019,Trusty Elementary School,,1,,
6601020,L. A. Chaffin Jr. High School,,,,
6601021,William O. Darby Jr. High Sch.,,1,,
6601022,Dora Kimmons Jr. High School,,,,2
6601023,Ramsey Junior High School,,,1,1
6601024,Northside High School,,1,,1
6601025,Southside High School,1,,1,4
6601029,John P. Woods Elem. School,,,,
6601030,Harry C. Morrison Elem. School,,,,
6601031,Elmer H. Cook Elem. School,,,,
6601032,Tilles Elementary School,,,6,8
6601033,Euper Lane Elementary School,,,2,2
6602042,Greenwood Junior High School,4,,1,
6602043,Greenwood High School,5,,,3
6602044,Westwood Elementary School,,1,,
6602045,East Hills Middle School,,,,
6602046,East Pointe Elementary School,,,,
6603047,Hackett Elementary School,,,,
6603048,Hackett High School,,,,
6604051,Hartford Elementary School,,1,,
6604052,Hartford High School,,,,
6605056,Lavaca Elementary School,,,,
6605057,Lavaca High School,,,,2
6605058,Lavaca Middle School,,,,
6606060,Mansfield Elementary School,1,,,5
6606061,Mansfield Middle School,,,,
6606062,Mansfield High School,,4,,
6701001,Dequeen Elementary School,,2,,
6701002,Dequeen Primary,,,,
6701003,Dequeen High School,2,,,
6701004,Dequeen Middle School,3,2,1,3
6701005,Dequeen Junior High School,9,2,,
6701016,Lockesburg Elementary School,,,,
6703012,Horatio Elementary School,,2,,
6703013,Horatio High School,,2,,1
6802001,Cave City Elementary School,,1,1,
6802002,Cave City High School,,,,
6802005,Evening Shade Elem. School,,,,
6802007,Cave City Middle School,,,,
6802008,Cave City Intermediate School,,,,
6804009,Cherokee Elementary School,1,4,2,
6804010,Highland High School,,1,,
6804011,Highland Middle School,,3,1,15
6901005,Mountain View Elem. School,,2,,6
6901006,Mountain View Middle School,,1,,1
6901007,Mountain View High School,,,,
6901011,Rural Special Elem. School,,,,
6901012,Rural Special High School,,,,1
6901015,Timbo Elementary School,,,,
6901016,Timbo High School,,2,,
7001001,Hugh Goodwin Elementary School,,,,
7001004,Northwest Elementary School,,1,,
7001005,Retta Brown Elementary School,,,,
7001009,Yocum Elementary School,,,,
7001010,Barton Jr. High School,,2,,
7001011,Washington Middle School,,,,
7001012,El Dorado High School,3,,,
7003027,Junction City Elem. School,,1,,
7003028,Junction City High School,,,,
7006035,Norphlet Elementary School,,,,
7006036,Norphlet High School,,,,
7007039,Parkers Chapel Elem. School,,,,
7007040,Parkers Chapel High School,,1,,
7008035,Norphlet Elementary School,,,,
7008036,Norphlet High School,,2,,6
7008043,Smackover Elementary School,,,,7
7008045,Smackover High School,,,1,1
7009048,Gardner-Strong Elem. School,,,,
7009049,Strong High School,,,,
7102005,Cowsert Elementary School,,,,
7102006,Clinton High School,1,,,
7102007,Clinton Intermediate School,,,,
7102008,Clinton Jr High School,,1,,
7104014,Shirley Elementary School,,1,,
7104015,Shirley High School,,,,
7105018,South Side Elementary School,,,,1
7105019,South Side High School,,,,
7201001,Elkins Elementary School,,,,4
7201002,Elkins High School,,,,
7201003,Elkins Middle School,,,,
7201004,Elkins Elem. Primary School,,,,
7202005,George R Ledbetter Intermediat,,,,
7202006,Farmington High School,,,,
7202007,Randall G. Lynch Middle School,,2,,2
7202008,"Jerry ""pop"" Williams Elem Sch",,,,
7202009,Bob Folsom Elementary School,,,,
7203010,Asbell Elementary School,,,,4
7203012,Butterfield Elementary School,,,1,1
7203013,Happy Hollow Elementary School,,,,
7203015,Leverett Elementary School,,1,,
7203016,Root Elementary School,,,1,1
7203017,Washington Elementary School,,1,,7
7203018,Ramay Junior High School,6,6,,
7203019,Woodland Junior High School,2,,,
7203020,Fayetteville High School East,2,2,2,4
7203022,Holcomb Elementary School,,1,,2
7203023,Vandergriff Elementary School,,2,2,4
7203024,McNair Middle School,2,3,,
7203025,Holt Middle School,,3,,
7203027,Owl Creek School,,1,2,1
7204027,Greenland Elementary School,,,,
7204028,Greenland High School,,,,
7204029,Greenland Middle School,,,2,37
7205031,Lincoln Elementary School,,,,
7205033,Lincoln Middle School,,,,
7205703,Lincoln Academic Center OF Exc,,,,
7205706,Lincoln New Tech High School,,,,
7206035,Prairie Grove Elem. School,,,,
7206036,Prairie Grove High School,,,,
7206038,Prairie Grove Middle School,,,,2
7206039,Prairie Grove Intermediate,,,,
7207040,Elmdale Elementary School,,,,
7207041,Jones Elementary School,,,,
7207042,Robert E. Lee Elem. School,,,,
7207044,John Tyson Elementary School,,2,,
7207046,Westwood Elementary School,,,,
7207047,Central Junior High School,,,,
7207048,Southwest Junior High School,1,,,2
7207049,Springdale High School,16,5,1,
7207050,Parson  Hills Elem. School,,,,
7207051,Thurman G. Smith Elem. School,,,,
7207052,Walker Elementary School,,,,
7207053,George Elementary School,,,,
7207054,J. O. Kelly Middle School,4,2,2,7
7207055,Helen Tyson Middle School,,,,
7207057,Bernice Young Elementary,,,,
7207058,Harp Elementary School,,,,
7207059,Bayyari Elementary School,,,,
7207060,George Junior High School,6,,,1
7207061,Hellstern Middle School,,,,
7207062,Har-Ber High School,1,1,,
7207063,Hunt Elementary School,,,,
7207064,Turnbow Elementary School,,,,
7207065,Monitor Elementary,,,,
7207066,Willis Shaw Elementary Sch,,,,
7207067,Springdale Alternative School,,,,
7207068,Sonora Elementary School,,,,
7207069,Sonora Middle School,,2,,
7207070,Lakeside Junior High School,4,,,
7208060,West Fork Elementary School,,,,
7208061,West Fork Middle School,,,,
7208062,West Fork High School,,1,,
7240703,Haas Hall Academy,,,,
7301001,H.L. Lubker Elementary School,,,,
7301003,Bald Knob High School,,2,,
7301004,Bald Knob Middle School,,,2,3
7302008,Beebe Elementary School,,,,
7302009,Beebe Junior High School,,1,1,1
7302010,Beebe High School,,,,
7302011,Beebe Middle School,,1,,
7302013,Badger Elementary,,2,,
7302014,Beebe Early Childhood,,,,1
7302703,Badger Academy,,,,
7303014,Bradford Elementary School,,,,
7303015,Bradford High School,,,,
7304018,White Co. Central Elem. School,,,,
7304019,White Co. Central High School,,,,1
7307026,Judsonia Elementary School,,,,
7307030,Kensett Elementary School,,,,1
7307032,Riverview High School,1,,,
7307033,Riverview Junior High School,,,,
7309038,Pangburn Elementary School,,,,
7309039,Pangburn High School,,,,
7310042,Rose Bud Elementary School,,,,
7310043,Rose Bud High School,,1,,
7311046,Sidney Deener Elem. School,,,,
7311047,McRae Elementary School,,,1,8
7311051,Ahlf Junior High School,2,3,,
7311052,Searcy High School,4,4,1,16
7311053,Westside Elementary School,,,,
7311054,Southwest Middle School,,2,,
7401001,Augusta Elementary School,,,,
7401003,Augusta High School,1,1,,6
7401007,Cotton Plant Elementary School,,,,
7403012,McCrory Elementary School,,,,4
7403013,McCrory High School,4,4,,4
7503005,S.C. Tucker Elementary School,,,1,
7503006,Danville High School,,,,
7503007,Danville Middle School,,,,
7504009,Dardanelle Intermediate School,,,,2
7504010,Dardanelle Middle School,5,3,,
7504011,Dardanelle High School,4,,,
7504013,Dardanelle Primary School,2,1,,1
7509030,Western Yell Co. Elem. School,,1,2,4
7509033,Western Yell Co. High School,,,,
7510019,Two Rivers High School,,,1,27
7510024,Two Rivers Elementary School,,,,
