LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
1101005,Central Elementary School,,,,
1101006,Park Elementary School,,,,
1104017,Piggott Elementary School,,1,,
1104018,Piggott High School,,,,
1106022,Rector Elementary School,1,,2,1
1106023,Rector High School,1,1,,
1201001,Concord Elementary School,,1,,
1201002,Concord High School,,,1,
1202005,Heber Springs Elem. School,,,,
1202006,Heber Springs High School,,3,,1
1202007,Heber Springs Middle School,,2,,2
1203010,Quitman Elementary School,,2,,
1203011,Quitman High School,,1,,1
1204014,West Side Elementary School,,,,
1204015,West Side High School,,,,
1304014,Woodlawn Elementary School,,,,
1304015,Woodlawn High School,,,,
1305001,Kingsland Elementary School,,,,
1305009,Rison Elementary School,,,,1
1305010,Rison High School,1,2,,
1402006,Central Elementary School,,,,
1402007,East Side Elementary School,2,1,,1
1402008,Magnolia Jr. High School,,2,1,2
1402009,Magnolia High School,3,1,,
1402031,Walker Pre-K Center,,,,
1408001,Emerson Elementary School,,,1,1
1408002,Emerson High School,,,,4
1408006,Bradley Elementary School,1,,,
1408007,Bradley High School,,,,1
1408018,Taylor Elementary School,,,,13
1408019,Taylor High School,,,,2
1503016,Nemo Vista Elementary School,,,,
1503017,Nemo Vista High School,,,,
1503018,Nemo Vista Middle School,,,,
1505025,Wonderview Elementary School,,,,14
1505026,Wonderview High School,,,,1
1507029,Morrilton Elementary School,,2,,
1507031,Morrilton Intermediate School,,2,,1
1507032,Morrilton Primary School,,4,3,14
1507036,Morrilton Sr. High School,3,1,,
1507037,Morrilton Junior High School,,3,,3
1601001,Bay Elementary School,1,,,
1601002,Bay High School,,,,
1602055,Westside High School,,1,,
1602056,Westside Elementary School,1,,,
1602058,Westside Middle School,,,,
1603006,Brookland Elementary School,,1,,
1603007,Brookland High School,,,,
1603009,Brookland Middle School,,,,8
1603010,Brookland Junior High School,3,1,,1
1605060,Buffalo Is. Central West Elem.,,,,
1605061,Buffalo Is. Central East Elem.,,,,
1605062,Buffalo Is. Central Jhs,,,,
1605063,Buffalo Is. Central Hs,,,,
1608015,Early Childhood Learning Cntr,,,,
1608017,Math & Science Magnet School,,2,,11
1608019,Visual & Performing Art Magnet,9,,,28
1608020,Health/Wellness Envi Magnet,,4,1,75
1608021,International Studies Magnet,,,,
1608022,Microsociety Magnet School,4,3,2,11
1608023,Annie Camp Jr. High School,6,1,1,4
1608024,Douglas MacArthur Jhs,5,1,,2
1608025,Jonesboro High School,,,,
1608026,Kindergarten Center,1,,,
